experiment_id,best_cost,dt,edges
0,19.53600029259924,0.5979969501495361,"[(0, 106), (0, 118), (1, 140), (1, 190), (2, 128), (2, 157), (3, 102), (3, 144), (4, 173), (4, 180), (5, 110), (5, 150), (6, 121), (6, 167), (7, 123), (7, 175), (8, 132), (8, 153), (9, 126), (9, 162), (10, 155), (10, 177), (11, 174), (11, 194), (12, 101), (12, 193), (13, 114), (13, 191), (14, 108), (14, 184), (15, 139), (15, 145), (16, 134), (16, 150), (17, 101), (17, 147), (18, 166), (18, 180), (19, 145), (19, 192), (20, 120), (20, 170), (21, 133), (21, 138), (22, 173), (22, 199), (23, 103), (23, 169), (24, 104), (24, 179), (25, 136), (25, 163), (26, 108), (26, 152), (27, 128), (27, 148), (28, 121), (28, 144), (29, 133), (29, 201), (30, 105), (30, 153), (31, 188), (31, 199), (32, 167), (32, 200), (33, 186), (33, 197), (34, 114), (34, 160), (35, 185), (35, 189), (36, 154), (36, 193), (37, 125), (37, 181), (38, 159), (38, 183), (39, 104), (39, 148), (40, 103), (40, 162), (41, 159), (41, 177), (42, 158), (42, 184), (43, 115), (43, 194), (44, 129), (44, 149), (45, 136), (45, 151), (46, 141), (46, 182), (47, 112), (47, 176), (48, 187), (48, 191), (49, 179), (49, 186), (50, 111), (50, 124), (51, 122), (51, 192), (52, 126), (52, 143), (53, 107), (53, 138), (54, 127), (54, 175), (55, 110), (55, 155), (56, 105), (56, 165), (57, 124), (57, 132), (58, 102), (58, 168), (59, 109), (59, 118), (60, 141), (60, 200), (61, 131), (61, 171), (62, 164), (62, 197), (63, 170), (63, 190), (64, 107), (64, 140), (65, 142), (65, 195), (66, 113), (66, 161), (67, 111), (67, 137), (68, 168), (68, 181), (69, 117), (69, 198), (70, 116), (70, 163), (71, 115), (71, 129), (72, 195), (72, 198), (73, 113), (73, 120), (74, 143), (74, 152), (75, 142), (75, 165), (76, 176), (76, 185), (77, 130), (77, 166), (78, 146), (78, 161), (79, 117), (79, 149), (80, 135), (80, 188), (81, 130), (81, 178), (82, 125), (82, 137), (83, 164), (83, 187), (84, 151), (84, 169), (85, 134), (85, 146), (86, 122), (86, 160), (87, 119), (87, 158), (88, 112), (88, 123), (89, 131), (89, 139), (90, 182), (90, 196), (91, 109), (91, 172), (92, 127), (92, 157), (93, 119), (93, 183), (94, 116), (94, 172), (95, 147), (95, 156), (96, 174), (96, 189), (97, 178), (97, 196), (98, 156), (98, 171), (99, 106), (99, 135), (100, 154), (100, 201)]"
1,30.733740465738624,0.7149219512939453,"[(0, 109), (0, 195), (1, 108), (1, 130), (2, 154), (2, 188), (3, 101), (3, 160), (4, 104), (4, 186), (5, 130), (5, 153), (6, 114), (6, 136), (7, 131), (7, 179), (8, 115), (8, 145), (9, 129), (9, 164), (10, 147), (10, 153), (11, 152), (11, 180), (12, 136), (12, 167), (13, 107), (13, 151), (14, 157), (14, 171), (15, 175), (15, 192), (16, 138), (16, 143), (17, 159), (17, 173), (18, 128), (18, 188), (19, 111), (19, 176), (20, 108), (20, 163), (21, 112), (21, 119), (22, 144), (22, 198), (23, 139), (23, 140), (24, 102), (24, 150), (25, 106), (25, 168), (26, 131), (26, 143), (27, 170), (27, 189), (28, 102), (28, 117), (29, 174), (29, 185), (30, 129), (30, 201), (31, 110), (31, 124), (32, 175), (32, 193), (33, 165), (33, 185), (34, 146), (34, 169), (35, 118), (35, 193), (36, 155), (36, 174), (37, 119), (37, 121), (38, 105), (38, 148), (39, 127), (39, 182), (40, 123), (40, 137), (41, 135), (41, 161), (42, 126), (42, 157), (43, 135), (43, 176), (44, 181), (44, 198), (45, 120), (45, 163), (46, 132), (46, 146), (47, 128), (47, 164), (48, 101), (48, 195), (49, 118), (49, 124), (50, 107), (50, 122), (51, 121), (51, 142), (52, 140), (52, 183), (53, 154), (53, 172), (54, 103), (54, 149), (55, 156), (55, 179), (56, 151), (56, 159), (57, 105), (57, 166), (58, 142), (58, 199), (59, 149), (59, 189), (60, 115), (60, 169), (61, 160), (61, 191), (62, 110), (62, 112), (63, 125), (63, 147), (64, 133), (64, 200), (65, 158), (65, 190), (66, 132), (66, 134), (67, 125), (67, 126), (68, 116), (68, 171), (69, 134), (69, 177), (70, 183), (70, 190), (71, 120), (71, 194), (72, 113), (72, 145), (73, 127), (73, 162), (74, 148), (74, 186), (75, 122), (75, 196), (76, 111), (76, 141), (77, 166), (77, 197), (78, 139), (78, 144), (79, 165), (79, 178), (80, 161), (80, 184), (81, 117), (81, 123), (82, 141), (82, 194), (83, 113), (83, 181), (84, 133), (84, 173), (85, 116), (85, 178), (86, 152), (86, 187), (87, 106), (87, 109), (88, 155), (88, 177), (89, 187), (89, 191), (90, 170), (90, 184), (91, 114), (91, 162), (92, 104), (92, 172), (93, 156), (93, 192), (94, 137), (94, 182), (95, 103), (95, 197), (96, 138), (96, 168), (97, 199), (97, 200), (98, 167), (98, 180), (99, 150), (99, 158), (100, 196), (100, 201)]"
2,26.110628835849138,0.8714900016784668,"[(0, 145), (0, 170), (1, 149), (1, 184), (2, 124), (2, 151), (3, 109), (3, 152), (4, 110), (4, 149), (5, 110), (5, 136), (6, 123), (6, 177), (7, 128), (7, 160), (8, 186), (8, 188), (9, 135), (9, 152), (10, 138), (10, 191), (11, 160), (11, 197), (12, 182), (12, 187), (13, 159), (13, 195), (14, 132), (14, 135), (15, 147), (15, 157), (16, 127), (16, 151), (17, 153), (17, 180), (18, 106), (18, 168), (19, 162), (19, 170), (20, 137), (20, 171), (21, 113), (21, 114), (22, 134), (22, 200), (23, 190), (23, 191), (24, 128), (24, 142), (25, 101), (25, 129), (26, 162), (26, 198), (27, 120), (27, 183), (28, 109), (28, 154), (29, 181), (29, 189), (30, 164), (30, 194), (31, 115), (31, 166), (32, 172), (32, 194), (33, 138), (33, 168), (34, 125), (34, 155), (35, 116), (35, 133), (36, 117), (36, 192), (37, 104), (37, 165), (38, 134), (38, 137), (39, 114), (39, 179), (40, 111), (40, 113), (41, 157), (41, 176), (42, 107), (42, 130), (43, 141), (43, 181), (44, 185), (44, 187), (45, 108), (45, 131), (46, 140), (46, 171), (47, 102), (47, 119), (48, 193), (48, 200), (49, 142), (49, 148), (50, 116), (50, 143), (51, 125), (51, 126), (52, 121), (52, 122), (53, 144), (53, 153), (54, 117), (54, 155), (55, 105), (55, 120), (56, 148), (56, 196), (57, 158), (57, 183), (58, 150), (58, 156), (59, 132), (59, 174), (60, 121), (60, 192), (61, 126), (61, 167), (62, 127), (62, 173), (63, 106), (63, 139), (64, 105), (64, 144), (65, 143), (65, 176), (66, 161), (66, 178), (67, 140), (67, 179), (68, 141), (68, 159), (69, 174), (69, 185), (70, 154), (70, 163), (71, 146), (71, 172), (72, 103), (72, 175), (73, 161), (73, 188), (74, 122), (74, 180), (75, 184), (75, 198), (76, 118), (76, 147), (77, 124), (77, 175), (78, 101), (78, 182), (79, 115), (79, 156), (80, 102), (80, 186), (81, 189), (81, 199), (82, 196), (82, 201), (83, 111), (83, 146), (84, 130), (84, 169), (85, 107), (85, 131), (86, 163), (86, 199), (87, 136), (87, 150), (88, 118), (88, 165), (89, 104), (89, 139), (90, 133), (90, 169), (91, 167), (91, 197), (92, 178), (92, 190), (93, 119), (93, 177), (94, 158), (94, 166), (95, 123), (95, 164), (96, 103), (96, 112), (97, 173), (97, 193), (98, 108), (98, 145), (99, 112), (99, 129), (100, 195), (100, 201)]"
3,19.09538231248782,0.9858880043029785,"[(0, 142), (0, 197), (1, 101), (1, 183), (2, 109), (2, 188), (3, 141), (3, 150), (4, 105), (4, 124), (5, 118), (5, 154), (6, 173), (6, 200), (7, 125), (7, 162), (8, 119), (8, 137), (9, 120), (9, 172), (10, 161), (10, 187), (11, 111), (11, 148), (12, 156), (12, 177), (13, 140), (13, 198), (14, 145), (14, 192), (15, 112), (15, 146), (16, 101), (16, 146), (17, 136), (17, 179), (18, 117), (18, 157), (19, 139), (19, 170), (20, 144), (20, 171), (21, 150), (21, 186), (22, 123), (22, 149), (23, 110), (23, 143), (24, 135), (24, 181), (25, 122), (25, 169), (26, 186), (26, 190), (27, 152), (27, 164), (28, 164), (28, 172), (29, 131), (29, 169), (30, 141), (30, 155), (31, 137), (31, 175), (32, 134), (32, 142), (33, 106), (33, 199), (34, 104), (34, 151), (35, 113), (35, 184), (36, 116), (36, 189), (37, 108), (37, 127), (38, 134), (38, 180), (39, 167), (39, 168), (40, 114), (40, 153), (41, 111), (41, 189), (42, 149), (42, 185), (43, 106), (43, 177), (44, 190), (44, 196), (45, 132), (45, 188), (46, 147), (46, 163), (47, 152), (47, 179), (48, 144), (48, 193), (49, 168), (49, 199), (50, 124), (50, 131), (51, 158), (51, 181), (52, 110), (52, 198), (53, 170), (53, 175), (54, 107), (54, 123), (55, 133), (55, 143), (56, 147), (56, 158), (57, 121), (57, 151), (58, 171), (58, 191), (59, 130), (59, 162), (60, 165), (60, 187), (61, 113), (61, 195), (62, 180), (62, 191), (63, 130), (63, 140), (64, 159), (64, 195), (65, 129), (65, 194), (66, 103), (66, 192), (67, 122), (67, 138), (68, 159), (68, 194), (69, 163), (69, 200), (70, 153), (70, 157), (71, 154), (71, 197), (72, 125), (72, 127), (73, 112), (73, 119), (74, 129), (74, 196), (75, 109), (75, 139), (76, 135), (76, 176), (77, 102), (77, 116), (78, 107), (78, 160), (79, 155), (79, 167), (80, 126), (80, 128), (81, 114), (81, 133), (82, 160), (82, 176), (83, 136), (83, 138), (84, 148), (84, 178), (85, 132), (85, 173), (86, 115), (86, 128), (87, 118), (87, 201), (88, 105), (88, 161), (89, 103), (89, 165), (90, 174), (90, 182), (91, 117), (91, 120), (92, 115), (92, 174), (93, 108), (93, 193), (94, 126), (94, 184), (95, 104), (95, 166), (96, 166), (96, 178), (97, 156), (97, 183), (98, 102), (98, 185), (99, 145), (99, 182), (100, 121), (100, 201)]"
4,18.547467071809553,2.016934871673584,"[(0, 123), (0, 201), (1, 106), (1, 108), (2, 127), (2, 198), (3, 116), (3, 152), (4, 135), (4, 156), (5, 155), (5, 180), (6, 173), (6, 191), (7, 165), (7, 175), (8, 141), (8, 192), (9, 110), (9, 144), (10, 130), (10, 179), (11, 158), (11, 177), (12, 126), (12, 147), (13, 130), (13, 150), (14, 142), (14, 156), (15, 120), (15, 142), (16, 148), (16, 179), (17, 183), (17, 200), (18, 124), (18, 147), (19, 128), (19, 196), (20, 112), (20, 194), (21, 111), (21, 189), (22, 118), (22, 119), (23, 111), (23, 154), (24, 115), (24, 192), (25, 164), (25, 200), (26, 107), (26, 127), (27, 102), (27, 137), (28, 161), (28, 165), (29, 134), (29, 178), (30, 106), (30, 183), (31, 107), (31, 109), (32, 122), (32, 199), (33, 108), (33, 152), (34, 104), (34, 184), (35, 103), (35, 112), (36, 116), (36, 191), (37, 119), (37, 182), (38, 110), (38, 114), (39, 187), (39, 197), (40, 173), (40, 195), (41, 138), (41, 163), (42, 101), (42, 195), (43, 129), (43, 149), (44, 139), (44, 158), (45, 102), (45, 190), (46, 113), (46, 124), (47, 120), (47, 157), (48, 161), (48, 182), (49, 117), (49, 181), (50, 131), (50, 157), (51, 125), (51, 135), (52, 162), (52, 167), (53, 143), (53, 178), (54, 109), (54, 189), (55, 146), (55, 155), (56, 128), (56, 133), (57, 138), (57, 171), (58, 137), (58, 193), (59, 172), (59, 194), (60, 149), (60, 176), (61, 122), (61, 171), (62, 134), (62, 196), (63, 145), (63, 175), (64, 168), (64, 185), (65, 132), (65, 168), (66, 104), (66, 151), (67, 148), (67, 154), (68, 166), (68, 177), (69, 153), (69, 174), (70, 121), (70, 146), (71, 103), (71, 117), (72, 166), (72, 188), (73, 123), (73, 187), (74, 133), (74, 160), (75, 101), (75, 159), (76, 113), (76, 131), (77, 115), (77, 190), (78, 169), (78, 172), (79, 121), (79, 150), (80, 118), (80, 185), (81, 184), (81, 186), (82, 126), (82, 159), (83, 105), (83, 188), (84, 170), (84, 181), (85, 140), (85, 153), (86, 169), (86, 176), (87, 193), (87, 198), (88, 125), (88, 145), (89, 144), (89, 199), (90, 163), (90, 174), (91, 105), (91, 143), (92, 164), (92, 197), (93, 170), (93, 186), (94, 114), (94, 141), (95, 136), (95, 140), (96, 136), (96, 160), (97, 132), (97, 151), (98, 129), (98, 180), (99, 139), (99, 167), (100, 162), (100, 201)]"
5,19.2727882088992,1.5554451942443848,"[(0, 167), (0, 187), (1, 172), (1, 194), (2, 148), (2, 164), (3, 137), (3, 200), (4, 108), (4, 154), (5, 105), (5, 157), (6, 169), (6, 177), (7, 109), (7, 189), (8, 129), (8, 176), (9, 128), (9, 193), (10, 101), (10, 115), (11, 111), (11, 136), (12, 126), (12, 179), (13, 155), (13, 198), (14, 108), (14, 176), (15, 134), (15, 135), (16, 158), (16, 198), (17, 153), (17, 178), (18, 104), (18, 137), (19, 128), (19, 171), (20, 119), (20, 192), (21, 112), (21, 170), (22, 133), (22, 184), (23, 170), (23, 186), (24, 132), (24, 200), (25, 112), (25, 156), (26, 101), (26, 183), (27, 104), (27, 149), (28, 110), (28, 163), (29, 131), (29, 152), (30, 117), (30, 164), (31, 130), (31, 186), (32, 145), (32, 151), (33, 111), (33, 168), (34, 146), (34, 194), (35, 182), (35, 191), (36, 121), (36, 147), (37, 110), (37, 173), (38, 142), (38, 201), (39, 126), (39, 187), (40, 129), (40, 144), (41, 107), (41, 177), (42, 159), (42, 197), (43, 118), (43, 180), (44, 115), (44, 143), (45, 153), (45, 160), (46, 166), (46, 169), (47, 127), (47, 174), (48, 162), (48, 197), (49, 138), (49, 196), (50, 180), (50, 189), (51, 116), (51, 119), (52, 172), (52, 173), (53, 152), (53, 167), (54, 125), (54, 199), (55, 182), (55, 190), (56, 127), (56, 161), (57, 106), (57, 171), (58, 116), (58, 185), (59, 122), (59, 123), (60, 113), (60, 178), (61, 113), (61, 181), (62, 106), (62, 151), (63, 141), (63, 142), (64, 166), (64, 184), (65, 149), (65, 175), (66, 120), (66, 135), (67, 148), (67, 193), (68, 139), (68, 199), (69, 121), (69, 155), (70, 138), (70, 188), (71, 102), (71, 157), (72, 154), (72, 165), (73, 117), (73, 136), (74, 103), (74, 175), (75, 124), (75, 146), (76, 140), (76, 147), (77, 123), (77, 168), (78, 103), (78, 174), (79, 114), (79, 145), (80, 118), (80, 188), (81, 122), (81, 134), (82, 162), (82, 185), (83, 141), (83, 161), (84, 124), (84, 191), (85, 150), (85, 163), (86, 130), (86, 159), (87, 139), (87, 179), (88, 140), (88, 143), (89, 181), (89, 196), (90, 109), (90, 131), (91, 107), (91, 158), (92, 156), (92, 183), (93, 150), (93, 160), (94, 105), (94, 195), (95, 102), (95, 144), (96, 125), (96, 132), (97, 133), (97, 165), (98, 120), (98, 195), (99, 114), (99, 190), (100, 192), (100, 201)]"
6,20.778165239164725,0.8501300811767578,"[(0, 107), (0, 132), (1, 165), (1, 192), (2, 149), (2, 152), (3, 109), (3, 114), (4, 130), (4, 162), (5, 143), (5, 172), (6, 144), (6, 188), (7, 146), (7, 197), (8, 126), (8, 190), (9, 155), (9, 200), (10, 127), (10, 199), (11, 173), (11, 194), (12, 112), (12, 169), (13, 184), (13, 195), (14, 102), (14, 177), (15, 106), (15, 147), (16, 119), (16, 196), (17, 137), (17, 188), (18, 134), (18, 192), (19, 165), (19, 184), (20, 124), (20, 174), (21, 152), (21, 194), (22, 105), (22, 158), (23, 109), (23, 158), (24, 117), (24, 163), (25, 112), (25, 168), (26, 150), (26, 169), (27, 148), (27, 153), (28, 125), (28, 191), (29, 183), (29, 201), (30, 104), (30, 178), (31, 166), (31, 176), (32, 115), (32, 182), (33, 101), (33, 131), (34, 135), (34, 159), (35, 144), (35, 151), (36, 156), (36, 182), (37, 181), (37, 198), (38, 147), (38, 159), (39, 102), (39, 118), (40, 136), (40, 189), (41, 113), (41, 114), (42, 128), (42, 171), (43, 179), (43, 190), (44, 107), (44, 138), (45, 120), (45, 123), (46, 101), (46, 111), (47, 135), (47, 177), (48, 105), (48, 150), (49, 176), (49, 187), (50, 154), (50, 171), (51, 132), (51, 139), (52, 118), (52, 199), (53, 111), (53, 197), (54, 128), (54, 131), (55, 166), (55, 180), (56, 104), (56, 116), (57, 113), (57, 181), (58, 119), (58, 120), (59, 134), (59, 154), (60, 140), (60, 180), (61, 175), (61, 198), (62, 133), (62, 185), (63, 115), (63, 127), (64, 130), (64, 163), (65, 149), (65, 168), (66, 142), (66, 162), (67, 140), (67, 193), (68, 116), (68, 148), (69, 122), (69, 164), (70, 123), (70, 175), (71, 103), (71, 167), (72, 110), (72, 137), (73, 161), (73, 189), (74, 146), (74, 161), (75, 143), (75, 173), (76, 164), (76, 200), (77, 156), (77, 170), (78, 142), (78, 196), (79, 122), (79, 126), (80, 124), (80, 157), (81, 153), (81, 191), (82, 108), (82, 129), (83, 133), (83, 151), (84, 136), (84, 160), (85, 186), (85, 195), (86, 121), (86, 183), (87, 174), (87, 186), (88, 108), (88, 110), (89, 117), (89, 145), (90, 170), (90, 185), (91, 157), (91, 167), (92, 141), (92, 178), (93, 125), (93, 172), (94, 141), (94, 187), (95, 121), (95, 129), (96, 160), (96, 193), (97, 138), (97, 179), (98, 145), (98, 155), (99, 106), (99, 139), (100, 103), (100, 201)]"
7,25.13404797617561,0.22943711280822754,"[(0, 109), (0, 137), (1, 129), (1, 157), (2, 123), (2, 159), (3, 104), (3, 130), (4, 150), (4, 160), (5, 127), (5, 182), (6, 189), (6, 191), (7, 102), (7, 199), (8, 161), (8, 171), (9, 153), (9, 176), (10, 107), (10, 155), (11, 158), (11, 181), (12, 125), (12, 172), (13, 141), (13, 165), (14, 101), (14, 118), (15, 184), (15, 185), (16, 121), (16, 133), (17, 131), (17, 147), (18, 123), (18, 147), (19, 125), (19, 189), (20, 119), (20, 160), (21, 135), (21, 183), (22, 133), (22, 170), (23, 126), (23, 198), (24, 110), (24, 174), (25, 113), (25, 167), (26, 169), (26, 190), (27, 152), (27, 167), (28, 143), (28, 186), (29, 173), (29, 177), (30, 137), (30, 179), (31, 131), (31, 186), (32, 194), (32, 199), (33, 115), (33, 120), (34, 112), (34, 143), (35, 104), (35, 185), (36, 140), (36, 162), (37, 142), (37, 164), (38, 134), (38, 192), (39, 117), (39, 145), (40, 102), (40, 144), (41, 156), (41, 191), (42, 122), (42, 149), (43, 109), (43, 151), (44, 114), (44, 178), (45, 166), (45, 196), (46, 151), (46, 193), (47, 145), (47, 182), (48, 176), (48, 196), (49, 124), (49, 201), (50, 142), (50, 174), (51, 105), (51, 115), (52, 105), (52, 132), (53, 101), (53, 184), (54, 154), (54, 161), (55, 180), (55, 200), (56, 134), (56, 135), (57, 113), (57, 136), (58, 132), (58, 170), (59, 138), (59, 149), (60, 106), (60, 111), (61, 164), (61, 197), (62, 139), (62, 179), (63, 146), (63, 180), (64, 112), (64, 172), (65, 117), (65, 153), (66, 126), (66, 136), (67, 106), (67, 122), (68, 108), (68, 146), (69, 130), (69, 198), (70, 127), (70, 140), (71, 114), (71, 118), (72, 103), (72, 187), (73, 194), (73, 197), (74, 107), (74, 175), (75, 148), (75, 188), (76, 111), (76, 178), (77, 154), (77, 157), (78, 124), (78, 150), (79, 195), (79, 200), (80, 120), (80, 159), (81, 158), (81, 190), (82, 169), (82, 171), (83, 181), (83, 192), (84, 108), (84, 168), (85, 129), (85, 163), (86, 163), (86, 165), (87, 119), (87, 168), (88, 175), (88, 183), (89, 141), (89, 166), (90, 110), (90, 156), (91, 148), (91, 195), (92, 121), (92, 193), (93, 116), (93, 177), (94, 144), (94, 162), (95, 128), (95, 188), (96, 128), (96, 187), (97, 103), (97, 155), (98, 139), (98, 152), (99, 116), (99, 138), (100, 173), (100, 201)]"
8,19.9260545042738,0.24984288215637207,"[(0, 135), (0, 174), (1, 190), (1, 194), (2, 195), (2, 200), (3, 119), (3, 151), (4, 147), (4, 161), (5, 126), (5, 127), (6, 105), (6, 198), (7, 175), (7, 180), (8, 102), (8, 199), (9, 176), (9, 187), (10, 130), (10, 168), (11, 116), (11, 163), (12, 132), (12, 162), (13, 171), (13, 172), (14, 153), (14, 162), (15, 124), (15, 143), (16, 175), (16, 198), (17, 118), (17, 151), (18, 124), (18, 192), (19, 118), (19, 127), (20, 141), (20, 169), (21, 119), (21, 133), (22, 103), (22, 160), (23, 112), (23, 173), (24, 128), (24, 183), (25, 120), (25, 174), (26, 110), (26, 142), (27, 112), (27, 159), (28, 149), (28, 189), (29, 152), (29, 168), (30, 129), (30, 154), (31, 193), (31, 201), (32, 157), (32, 165), (33, 134), (33, 158), (34, 170), (34, 190), (35, 115), (35, 197), (36, 179), (36, 184), (37, 115), (37, 180), (38, 109), (38, 189), (39, 152), (39, 166), (40, 113), (40, 185), (41, 114), (41, 145), (42, 106), (42, 111), (43, 161), (43, 163), (44, 106), (44, 122), (45, 123), (45, 170), (46, 136), (46, 173), (47, 141), (47, 142), (48, 116), (48, 167), (49, 143), (49, 184), (50, 156), (50, 171), (51, 187), (51, 191), (52, 101), (52, 199), (53, 108), (53, 117), (54, 101), (54, 125), (55, 105), (55, 196), (56, 121), (56, 196), (57, 138), (57, 164), (58, 134), (58, 181), (59, 126), (59, 164), (60, 109), (60, 146), (61, 110), (61, 123), (62, 135), (62, 194), (63, 129), (63, 137), (64, 139), (64, 191), (65, 128), (65, 148), (66, 149), (66, 182), (67, 136), (67, 178), (68, 157), (68, 178), (69, 137), (69, 165), (70, 102), (70, 132), (71, 103), (71, 140), (72, 147), (72, 177), (73, 114), (73, 195), (74, 104), (74, 150), (75, 144), (75, 193), (76, 154), (76, 186), (77, 107), (77, 111), (78, 121), (78, 158), (79, 130), (79, 181), (80, 155), (80, 182), (81, 160), (81, 188), (82, 120), (82, 139), (83, 138), (83, 172), (84, 146), (84, 186), (85, 140), (85, 144), (86, 108), (86, 145), (87, 122), (87, 177), (88, 104), (88, 167), (89, 117), (89, 166), (90, 159), (90, 183), (91, 113), (91, 179), (92, 155), (92, 192), (93, 131), (93, 133), (94, 176), (94, 197), (95, 153), (95, 188), (96, 148), (96, 200), (97, 107), (97, 156), (98, 125), (98, 185), (99, 150), (99, 169), (100, 131), (100, 201)]"
9,20.659670855351198,2.630070924758911,"[(0, 141), (0, 179), (1, 106), (1, 192), (2, 140), (2, 176), (3, 189), (3, 195), (4, 113), (4, 175), (5, 161), (5, 193), (6, 104), (6, 177), (7, 107), (7, 114), (8, 167), (8, 173), (9, 166), (9, 168), (10, 120), (10, 155), (11, 111), (11, 142), (12, 103), (12, 112), (13, 107), (13, 143), (14, 124), (14, 172), (15, 138), (15, 177), (16, 106), (16, 179), (17, 164), (17, 165), (18, 146), (18, 200), (19, 170), (19, 198), (20, 144), (20, 176), (21, 116), (21, 184), (22, 115), (22, 195), (23, 127), (23, 148), (24, 105), (24, 174), (25, 185), (25, 189), (26, 159), (26, 173), (27, 132), (27, 147), (28, 113), (28, 192), (29, 127), (29, 159), (30, 147), (30, 162), (31, 109), (31, 135), (32, 118), (32, 187), (33, 158), (33, 190), (34, 137), (34, 180), (35, 130), (35, 153), (36, 104), (36, 185), (37, 134), (37, 174), (38, 124), (38, 149), (39, 105), (39, 145), (40, 119), (40, 193), (41, 101), (41, 196), (42, 121), (42, 187), (43, 194), (43, 197), (44, 123), (44, 197), (45, 126), (45, 148), (46, 102), (46, 112), (47, 128), (47, 191), (48, 152), (48, 156), (49, 114), (49, 158), (50, 101), (50, 163), (51, 117), (51, 190), (52, 145), (52, 172), (53, 154), (53, 175), (54, 144), (54, 188), (55, 118), (55, 183), (56, 131), (56, 136), (57, 117), (57, 196), (58, 123), (58, 164), (59, 108), (59, 191), (60, 116), (60, 146), (61, 137), (61, 143), (62, 115), (62, 167), (63, 157), (63, 188), (64, 133), (64, 199), (65, 122), (65, 160), (66, 151), (66, 186), (67, 110), (67, 201), (68, 111), (68, 125), (69, 128), (69, 169), (70, 178), (70, 184), (71, 103), (71, 139), (72, 131), (72, 180), (73, 125), (73, 198), (74, 166), (74, 181), (75, 149), (75, 199), (76, 132), (76, 152), (77, 135), (77, 169), (78, 110), (78, 183), (79, 109), (79, 163), (80, 153), (80, 171), (81, 126), (81, 194), (82, 151), (82, 182), (83, 142), (83, 186), (84, 140), (84, 165), (85, 120), (85, 141), (86, 134), (86, 161), (87, 157), (87, 178), (88, 182), (88, 200), (89, 160), (89, 162), (90, 121), (90, 168), (91, 129), (91, 181), (92, 129), (92, 156), (93, 139), (93, 171), (94, 122), (94, 133), (95, 136), (95, 155), (96, 102), (96, 170), (97, 119), (97, 138), (98, 150), (98, 154), (99, 108), (99, 130), (100, 150), (100, 201)]"
