experiment_id,best_cost,dt,edges
10,10.507895847226633,0.021797895431518555,"[(0, 58), (0, 60), (1, 50), (1, 52), (2, 48), (2, 59), (3, 61), (3, 62), (4, 49), (4, 60), (5, 51), (5, 53), (6, 49), (6, 51), (7, 56), (7, 57), (8, 38), (8, 40), (9, 42), (9, 65), (10, 50), (10, 64), (11, 33), (11, 35), (12, 44), (12, 45), (13, 37), (13, 39), (14, 42), (14, 44), (15, 47), (15, 63), (16, 41), (16, 46), (17, 36), (17, 38), (18, 35), (18, 37), (19, 58), (19, 61), (20, 53), (20, 55), (21, 55), (21, 57), (22, 43), (22, 59), (23, 34), (23, 43), (24, 40), (24, 45), (25, 34), (25, 36), (26, 54), (26, 56), (27, 52), (27, 54), (28, 39), (28, 41), (29, 48), (29, 64), (30, 62), (30, 63), (31, 46), (31, 47), (32, 33), (32, 65)]"
11,12.373668886484618,0.07898807525634766,"[(0, 46), (0, 62), (1, 35), (1, 37), (2, 42), (2, 45), (3, 55), (3, 57), (4, 48), (4, 50), (5, 35), (5, 65), (6, 52), (6, 54), (7, 49), (7, 53), (8, 37), (8, 39), (9, 62), (9, 63), (10, 51), (10, 58), (11, 60), (11, 61), (12, 54), (12, 56), (13, 45), (13, 60), (14, 36), (14, 38), (15, 39), (15, 41), (16, 40), (16, 41), (17, 53), (17, 55), (18, 50), (18, 52), (19, 46), (19, 47), (20, 59), (20, 64), (21, 38), (21, 40), (22, 49), (22, 51), (23, 33), (23, 44), (24, 56), (24, 57), (25, 34), (25, 43), (26, 42), (26, 44), (27, 43), (27, 47), (28, 34), (28, 36), (29, 58), (29, 61), (30, 48), (30, 64), (31, 59), (31, 63), (32, 33), (32, 65)]"
12,9.187133107585492,0.05174589157104492,"[(0, 55), (0, 57), (1, 51), (1, 53), (2, 62), (2, 63), (3, 38), (3, 40), (4, 50), (4, 64), (5, 34), (5, 43), (6, 61), (6, 62), (7, 47), (7, 48), (8, 37), (8, 45), (9, 49), (9, 58), (10, 59), (10, 63), (11, 40), (11, 41), (12, 43), (12, 48), (13, 53), (13, 55), (14, 35), (14, 42), (15, 56), (15, 57), (16, 46), (16, 47), (17, 50), (17, 52), (18, 37), (18, 65), (19, 54), (19, 56), (20, 46), (20, 61), (21, 44), (21, 45), (22, 39), (22, 41), (23, 34), (23, 36), (24, 36), (24, 38), (25, 44), (25, 60), (26, 33), (26, 35), (27, 59), (27, 64), (28, 39), (28, 42), (29, 49), (29, 51), (30, 52), (30, 54), (31, 58), (31, 60), (32, 33), (32, 65)]"
13,11.017189145302268,0.0324101448059082,"[(0, 34), (0, 36), (1, 42), (1, 46), (2, 36), (2, 38), (3, 61), (3, 62), (4, 47), (4, 48), (5, 39), (5, 41), (6, 50), (6, 59), (7, 54), (7, 56), (8, 48), (8, 64), (9, 49), (9, 58), (10, 59), (10, 64), (11, 38), (11, 40), (12, 50), (12, 52), (13, 56), (13, 57), (14, 44), (14, 60), (15, 33), (15, 35), (16, 58), (16, 60), (17, 35), (17, 42), (18, 37), (18, 39), (19, 49), (19, 51), (20, 53), (20, 61), (21, 55), (21, 63), (22, 43), (22, 47), (23, 62), (23, 63), (24, 51), (24, 53), (25, 33), (25, 65), (26, 45), (26, 46), (27, 52), (27, 54), (28, 40), (28, 41), (29, 34), (29, 43), (30, 44), (30, 45), (31, 55), (31, 57), (32, 37), (32, 65)]"
14,11.781936118136183,0.02805614471435547,"[(0, 58), (0, 61), (1, 50), (1, 52), (2, 39), (2, 41), (3, 53), (3, 63), (4, 49), (4, 62), (5, 47), (5, 63), (6, 60), (6, 61), (7, 38), (7, 40), (8, 55), (8, 57), (9, 45), (9, 46), (10, 34), (10, 48), (11, 43), (11, 47), (12, 59), (12, 64), (13, 44), (13, 65), (14, 42), (14, 44), (15, 51), (15, 58), (16, 37), (16, 39), (17, 34), (17, 36), (18, 50), (18, 54), (19, 46), (19, 62), (20, 53), (20, 55), (21, 40), (21, 41), (22, 56), (22, 57), (23, 49), (23, 60), (24, 52), (24, 64), (25, 35), (25, 37), (26, 54), (26, 56), (27, 51), (27, 59), (28, 42), (28, 45), (29, 36), (29, 38), (30, 43), (30, 48), (31, 33), (31, 35), (32, 33), (32, 65)]"
15,11.935916467312314,0.021975040435791016,"[(0, 58), (0, 61), (1, 40), (1, 41), (2, 42), (2, 65), (3, 49), (3, 58), (4, 42), (4, 45), (5, 35), (5, 37), (6, 53), (6, 59), (7, 53), (7, 62), (8, 39), (8, 41), (9, 54), (9, 56), (10, 36), (10, 46), (11, 55), (11, 57), (12, 34), (12, 43), (13, 46), (13, 47), (14, 62), (14, 63), (15, 50), (15, 52), (16, 34), (16, 48), (17, 49), (17, 51), (18, 51), (18, 55), (19, 38), (19, 40), (20, 43), (20, 47), (21, 33), (21, 35), (22, 56), (22, 57), (23, 60), (23, 61), (24, 52), (24, 54), (25, 36), (25, 38), (26, 50), (26, 64), (27, 44), (27, 60), (28, 37), (28, 39), (29, 59), (29, 64), (30, 48), (30, 63), (31, 44), (31, 45), (32, 33), (32, 65)]"
16,10.987759783480488,0.17245793342590332,"[(0, 44), (0, 65), (1, 42), (1, 45), (2, 45), (2, 46), (3, 48), (3, 64), (4, 59), (4, 63), (5, 37), (5, 39), (6, 43), (6, 47), (7, 50), (7, 54), (8, 56), (8, 62), (9, 55), (9, 57), (10, 36), (10, 38), (11, 33), (11, 35), (12, 53), (12, 55), (13, 34), (13, 48), (14, 37), (14, 42), (15, 49), (15, 58), (16, 54), (16, 56), (17, 52), (17, 59), (18, 35), (18, 39), (19, 49), (19, 51), (20, 50), (20, 52), (21, 34), (21, 36), (22, 44), (22, 60), (23, 61), (23, 62), (24, 57), (24, 61), (25, 58), (25, 60), (26, 38), (26, 43), (27, 40), (27, 41), (28, 63), (28, 64), (29, 41), (29, 46), (30, 51), (30, 53), (31, 40), (31, 47), (32, 33), (32, 65)]"
17,10.860170329811472,0.06494593620300293,"[(0, 50), (0, 54), (1, 59), (1, 64), (2, 44), (2, 60), (3, 55), (3, 62), (4, 33), (4, 35), (5, 51), (5, 53), (6, 43), (6, 47), (7, 57), (7, 63), (8, 40), (8, 41), (9, 42), (9, 65), (10, 34), (10, 43), (11, 42), (11, 44), (12, 46), (12, 61), (13, 35), (13, 37), (14, 48), (14, 64), (15, 45), (15, 46), (16, 45), (16, 60), (17, 39), (17, 41), (18, 49), (18, 51), (19, 58), (19, 61), (20, 53), (20, 55), (21, 36), (21, 38), (22, 52), (22, 59), (23, 54), (23, 56), (24, 38), (24, 40), (25, 62), (25, 63), (26, 49), (26, 58), (27, 56), (27, 57), (28, 34), (28, 36), (29, 50), (29, 52), (30, 47), (30, 48), (31, 37), (31, 39), (32, 33), (32, 65)]"
18,11.610575383538942,0.01370096206665039,"[(0, 47), (0, 63), (1, 50), (1, 52), (2, 52), (2, 54), (3, 53), (3, 61), (4, 56), (4, 62), (5, 59), (5, 64), (6, 49), (6, 60), (7, 39), (7, 45), (8, 35), (8, 65), (9, 48), (9, 64), (10, 43), (10, 48), (11, 41), (11, 45), (12, 54), (12, 55), (13, 42), (13, 44), (14, 35), (14, 37), (15, 50), (15, 59), (16, 37), (16, 39), (17, 53), (17, 58), (18, 46), (18, 61), (19, 38), (19, 40), (20, 56), (20, 57), (21, 55), (21, 57), (22, 51), (22, 58), (23, 34), (23, 36), (24, 62), (24, 63), (25, 46), (25, 47), (26, 40), (26, 41), (27, 34), (27, 43), (28, 49), (28, 51), (29, 33), (29, 42), (30, 44), (30, 60), (31, 36), (31, 38), (32, 33), (32, 65)]"
19,10.978130722950727,0.01251983642578125,"[(0, 42), (0, 44), (1, 53), (1, 55), (2, 49), (2, 58), (3, 35), (3, 37), (4, 45), (4, 61), (5, 46), (5, 47), (6, 33), (6, 42), (7, 34), (7, 36), (8, 39), (8, 41), (9, 50), (9, 54), (10, 50), (10, 52), (11, 58), (11, 60), (12, 52), (12, 59), (13, 41), (13, 48), (14, 38), (14, 43), (15, 36), (15, 38), (16, 51), (16, 53), (17, 63), (17, 64), (18, 43), (18, 48), (19, 55), (19, 57), (20, 62), (20, 63), (21, 44), (21, 60), (22, 40), (22, 47), (23, 37), (23, 39), (24, 54), (24, 56), (25, 34), (25, 40), (26, 59), (26, 64), (27, 45), (27, 46), (28, 56), (28, 57), (29, 61), (29, 62), (30, 33), (30, 65), (31, 49), (31, 51), (32, 35), (32, 65)]"
